CAST_ID,SOURCE,CARBON,VANADIUM,TITANIUM,NIOBIUM,MANGANESE,PHOSPHORUS,SULPHUR,SILICON
V79377,CC2,0.14,0.005,0.002,0.021,1.362,0.02,0.003,0.266
V79385,CC1,0.002,0.001,0.057,0.001,0.082,0.012,0.008,0.003
V79386,CC3,0.044,0.001,0.0,0.0,0.303,0.016,0.007,0.006
V79433,CC3,0.031,0.001,0.001,0.0,0.152,0.013,0.006,0.008
V79432,CC2,0.026,0.001,0.001,0.001,0.199,0.012,0.009,0.01
V79434,CC3,0.044,0.001,0.001,0.001,0.142,0.012,0.006,0.009
V79447,CC3,0.033,0.001,0.0,0.0,0.165,0.025,0.009,0.005
V79448,CC1,0.002,0.001,0.053,0.001,0.072,0.015,0.006,0.006
V79460,CC2,0.077,0.003,0.0,0.036,0.805,0.019,0.006,0.02
V79467,CC3,0.048,0.001,0.001,0.0,0.193,0.015,0.002,0.052
V79478,CC3,0.025,0.001,0.0,0.0,0.19,0.017,0.004,0.012
V79475,CC1,0.0018,0.001,0.053,0.001,0.63,0.044,0.006,0.006
V78716,CC2,0.63,0.003,0.0,0.0,0.68,0.02,0.007,0.234
V78718,CC3,0.057,0.002,0.001,0.0,0.457,0.022,0.006,0.013
V78770,CC2,0.14,0.001,0.001,0.022,1.32,0.016,0.006,0.227
V78826,CC2,0.054,0.002,0.0,0.0,0.444,0.013,0.008,0.007
V78843,CC2,0.1,0.001,0.0,0.0,0.423,0.015,0.01,0.007
V78851,CC1,0.0016,0.001,0.059,0.001,0.076,0.011,0.009,0.005
V78857,CC3,0.029,0.001,0.0,0.0,0.174,0.014,0.007,0.004
V78854,CC2,0.096,0.001,0.0,0.0,0.38,0.01,0.007,0.005
V78855,CC1,0.0018,0.001,0.058,0.001,0.08,0.013,0.008,0.004
V78864,CC3,0.069,0.001,0.0,0.0,0.2,0.018,0.004,0.01
V78864,CC3,0.068,0.001,0.0,0.0,0.197,0.017,0.004,0.009
V78866,CC3,0.045,0.001,0.0,0.0,0.195,0.024,0.005,0.007
